
******************************************
               Running on cuda:0 
******************************************
Regulariser          :         2-norm , 0.1
Dataset              :              Covtype
Data size            :         (581012, 54)
No. Samples          :               581012
Dimensions           :                  378
x0                   :              uniform
Algorithm            :     FaithfulNewtonCR
..............................................................................................................................
     ite     |    inite    |    dtype    |    orcs     |    time     |      f      |   g_norm    |    alpha    |     acc     
..............................................................................................................................
      0      |      0      |    None     |      0      |    0.00     | 2.0774e+01  | 2.1800e+03  |  0.00e+00   |    0.00     
      1      |      5      |     UNF     |     25      |    0.08     | 7.6838e+00  | 1.2337e+03  |  4.88e-04   |    0.00     
      2      |      5      |     UNF     |     44      |    0.12     | 3.2112e+00  | 1.0048e+03  |  3.12e-02   |    0.00     
      3      |      5      |     UNF     |     60      |    0.16     | 2.6822e+00  | 8.7555e+02  |  2.50e-01   |    0.00     
      4      |      5      |     UNF     |     77      |    0.20     | 1.3396e+00  | 1.7988e+02  |  1.25e-01   |    0.00     
      5      |     25      |     FTH     |     135     |    0.34     | 1.2649e+00  | 1.3260e+02  |  1.00e+00   |    0.00     
      6      |     25      |     FTH     |     193     |    0.49     | 1.1487e+00  | 3.0193e+02  |  1.00e+00   |    0.00     
      7      |      5      |     UNF     |     207     |    0.52     | 1.0432e+00  | 9.0667e+01  |  1.00e+00   |    0.00     
      8      |     25      |     FTH     |     265     |    0.66     | 9.6450e-01  | 4.3858e+01  |  1.00e+00   |    0.00     
      9      |     25      |     FTH     |     323     |    0.81     | 9.1378e-01  | 1.5141e+01  |  1.00e+00   |    0.00     
     10      |     25      |     FTH     |     381     |    0.95     | 8.8842e-01  | 4.7770e+00  |  1.00e+00   |    0.00     
     11      |     25      |     FTH     |     439     |    1.10     | 8.7564e-01  | 1.2884e+00  |  1.00e+00   |    0.00     
     12      |     65      |     FTH     |     580     |    1.45     | 8.1186e-01  | 2.3123e+01  |  1.00e+00   |    0.00     
     13      |     25      |     FTH     |     638     |    1.59     | 8.0505e-01  | 5.7624e+00  |  1.00e+00   |    0.00     
     14      |     25      |     FTH     |     696     |    1.74     | 8.0294e-01  | 8.7715e-01  |  1.00e+00   |    0.00     
     15      |     85      |     FTH     |     878     |    2.20     | 7.6634e-01  | 1.3506e+01  |  1.00e+00   |    0.00     
     16      |      5      |     UNF     |     892     |    2.23     | 7.6582e-01  | 8.0651e-01  |  1.00e+00   |    0.00     
     17      |     25      |     FTH     |     951     |    2.38     | 7.6562e-01  | 5.7589e-02  |  1.00e+00   |    0.00     
     18      |     205     |     FTH     |    1378     |    3.46     | 7.5574e-01  | 5.2676e+00  |  1.00e+00   |    0.00     
     19      |      5      |     UNF     |    1392     |    3.49     | 7.5567e-01  | 2.0267e-01  |  1.00e+00   |    0.00     
     20      |     45      |     FTH     |    1491     |    3.74     | 7.5562e-01  | 2.4170e-02  |  1.00e+00   |    0.00     
     21      |     165     |     FTH     |    1836     |    4.61     | 7.5547e-01  | 5.6170e-02  |  1.00e+00   |    0.00     
     22      |      5      |     UNF     |    1850     |    4.64     | 7.5547e-01  | 3.6370e-03  |  1.00e+00   |    0.00     
     23      |     205     |     FTH     |    2278     |    5.73     | 7.5545e-01  | 5.3735e-03  |  1.00e+00   |    0.00     
     24      |     45      |     FTH     |    2378     |    5.98     | 7.5545e-01  | 3.4905e-04  |  1.00e+00   |    0.00     
     25      |     165     |     FTH     |    2723     |    6.85     | 7.5545e-01  | 3.4615e-04  |  1.00e+00   |    0.00     
     26      |     85      |     FTH     |    2904     |    7.31     | 7.5545e-01  | 3.0725e-05  |  1.00e+00   |    0.00     
     27      |     225     |     FTH     |    3372     |    8.49     | 7.5545e-01  | 7.2561e-06  |  1.00e+00   |    0.00     
     28      |     165     |     FTH     |    3717     |    9.36     | 7.5545e-01  | 1.5742e-06  |  1.00e+00   |    0.00     
     29      |     185     |     FTH     |    4103     |    10.34    | 7.5545e-01  | 3.7574e-07  |  1.00e+00   |    0.00     

******************************************
               Running on cuda:0 
******************************************
Regulariser          :         2-norm , 0.1
Dataset              :              Covtype
Data size            :         (581012, 54)
No. Samples          :               581012
Dimensions           :                  378
x0                   :              uniform
Algorithm            : FaithfulNewtonCR-reg
..............................................................................................................................
     ite     |    inite    |    dtype    |    orcs     |    time     |      f      |   g_norm    |    alpha    |     acc     
..............................................................................................................................
      0      |      0      |    None     |      0      |    0.00     | 2.0774e+01  | 2.1800e+03  |  0.00e+00   |    0.00     
      1      |      5      |     UNF     |     25      |    0.07     | 9.3365e+00  | 1.4815e+03  |  4.88e-04   |    0.00     
      2      |      5      |     UNF     |     46      |    0.12     | 4.4642e+00  | 1.1880e+03  |  7.81e-03   |    0.00     
      3      |      5      |     UNF     |     63      |    0.16     | 3.9901e+00  | 8.6196e+02  |  1.25e-01   |    0.00     
      4      |      5      |     UNF     |     80      |    0.20     | 3.8036e+00  | 1.2301e+03  |  1.25e-01   |    0.00     
      5      |      5      |     UNF     |     97      |    0.24     | 3.4964e+00  | 9.6947e+02  |  1.25e-01   |    0.00     
      6      |      5      |     UNF     |     114     |    0.28     | 2.8251e+00  | 1.1535e+03  |  1.25e-01   |    0.00     
      7      |      5      |     UNF     |     131     |    0.32     | 1.3406e+00  | 3.6580e+02  |  1.25e-01   |    0.00     
      8      |      5      |     UNF     |     146     |    0.35     | 1.2031e+00  | 1.2970e+02  |  5.00e-01   |    0.00     
      9      |     25      |     FTH     |     206     |    0.50     | 1.1395e+00  | 3.8470e+01  |  1.00e+00   |    0.00     
     10      |     25      |     FTH     |     267     |    0.64     | 1.0877e+00  | 4.0587e+01  |  1.00e+00   |    0.00     
     11      |     25      |     FTH     |     328     |    0.79     | 1.0464e+00  | 1.2075e+01  |  1.00e+00   |    0.00     
     12      |     25      |     FTH     |     388     |    0.93     | 9.6143e-01  | 1.5801e+01  |  1.00e+00   |    0.00     
     13      |     25      |     FTH     |     448     |    1.08     | 9.6086e-01  | 1.1131e+00  |  1.00e+00   |    0.00     
     14      |     85      |     FTH     |     631     |    1.53     | 8.4940e-01  | 5.7276e+01  |  1.00e+00   |    0.00     
     15      |      5      |     UNF     |     645     |    1.56     | 8.4377e-01  | 8.1171e+00  |  1.00e+00   |    0.00     
     16      |     25      |     FTH     |     704     |    1.71     | 8.4351e-01  | 5.3288e-01  |  1.00e+00   |    0.00     
     17      |     105     |     FTH     |     927     |    2.27     | 7.8621e-01  | 1.1700e+01  |  1.00e+00   |    0.00     
     18      |     25      |     FTH     |     986     |    2.41     | 7.8464e-01  | 2.1119e+00  |  1.00e+00   |    0.00     
     19      |     25      |     FTH     |    1046     |    2.56     | 7.8438e-01  | 1.9079e-01  |  1.00e+00   |    0.00     
     20      |     125     |     FTH     |    1310     |    3.22     | 7.6008e-01  | 1.1586e+01  |  1.00e+00   |    0.00     
     21      |      5      |     UNF     |    1324     |    3.25     | 7.5980e-01  | 6.9515e-01  |  1.00e+00   |    0.00     
     22      |     25      |     FTH     |    1383     |    3.40     | 7.5971e-01  | 4.5119e-02  |  1.00e+00   |    0.00     
     23      |     185     |     FTH     |    1770     |    4.37     | 7.5567e-01  | 2.0768e+00  |  1.00e+00   |    0.00     
     24      |      5      |     UNF     |    1784     |    4.41     | 7.5566e-01  | 5.0787e-02  |  1.00e+00   |    0.00     
     25      |     65      |     FTH     |    1925     |    4.76     | 7.5563e-01  | 1.5383e-02  |  1.00e+00   |    0.00     
     26      |     205     |     FTH     |    2353     |    5.84     | 7.5546e-01  | 1.1312e-01  |  1.00e+00   |    0.00     
     27      |      5      |     UNF     |    2367     |    5.87     | 7.5546e-01  | 3.6234e-03  |  1.00e+00   |    0.00     
     28      |     125     |     FTH     |    2631     |    6.53     | 7.5545e-01  | 5.7574e-03  |  1.00e+00   |    0.00     
     29      |     25      |     FTH     |    2691     |    6.68     | 7.5545e-01  | 4.9267e-04  |  1.00e+00   |    0.00     
     30      |     225     |     FTH     |    3160     |    7.86     | 7.5545e-01  | 2.6510e-04  |  1.00e+00   |    0.00     
     31      |     205     |     FTH     |    3588     |    8.94     | 7.5545e-01  | 3.5316e-05  |  1.00e+00   |    0.00     
     32      |     225     |     FTH     |    4057     |    10.12    | 7.5545e-01  | 1.1271e-05  |  1.00e+00   |    0.00     
     33      |     245     |     FTH     |    4567     |    11.41    | 7.5545e-01  | 3.0114e-06  |  1.00e+00   |    0.00     
     34      |     245     |     FTH     |    5078     |    12.70    | 7.5545e-01  | 1.6054e-06  |  1.00e+00   |    0.00     
     35      |     225     |     FTH     |    5548     |    13.89    | 7.5545e-01  | 1.0181e-06  |  1.00e+00   |    0.00     
     36      |      5      |     UNF     |    5566     |    13.93    | 7.5545e-01  | 1.0181e-06  |  6.25e-02   |    0.00     
     37      |      5      |     UNF     |    5582     |    13.97    | 7.5545e-01  | 1.0181e-06  |  2.50e-01   |    0.00     
     38      |      5      |     UNF     |    5626     |    14.08    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     39      |      5      |     UNF     |    5670     |    14.20    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     40      |      5      |     UNF     |    5714     |    14.31    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     41      |      5      |     UNF     |    5758     |    14.43    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     42      |      5      |     UNF     |    5802     |    14.54    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     43      |      5      |     UNF     |    5846     |    14.66    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     44      |      5      |     UNF     |    5890     |    14.77    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     45      |      5      |     UNF     |    5934     |    14.88    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     46      |      5      |     UNF     |    5978     |    15.00    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     47      |      5      |     UNF     |    6022     |    15.11    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     48      |      5      |     UNF     |    6066     |    15.23    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
